資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	2703	1655	妙	妙	絶妙	絶妙			2		去濁	入軽去濁							13505	
30-006-01	世俗諺文_天理大学図書館	2704	1656	韋	韋	韋誕	韋誕			1		平	平去	ヰ	ヰタン					13506	
30-006-01	世俗諺文_天理大学図書館	2705	1656	誕	誕	韋誕	韋誕			2		去	平去	タン	ヰタン					13506	
30-006-01	世俗諺文_天理大学図書館	2706	1657	伯	伯	伯英	伯英			1		入	入平							13506	
30-006-01	世俗諺文_天理大学図書館	2707	1657	英	英	伯英	伯英			2		平	入平							13506	
30-006-01	世俗諺文_天理大学図書館	2708	1658	草	草	草聖	草聖			1		上	上去							13506	
30-006-01	世俗諺文_天理大学図書館	2709	1658	聖	聖	草聖	草聖			2		去	上去							13506	
30-006-01	世俗諺文_天理大学図書館	2710	1659	韋	韋	韋仲將	韋仲将			1		平濁	平濁去平							13601	
30-006-01	世俗諺文_天理大学図書館	2711	1659	仲	仲	韋仲將	韋仲将			2		去	平濁去平							13601	
30-006-01	世俗諺文_天理大学図書館	2712	1659	將	将	韋仲將	韋仲将			3		平	平濁去平							13601	
30-006-01	世俗諺文_天理大学図書館	2713	1660	書	書	書	書			1		平軽	平軽							13601	
30-006-01	世俗諺文_天理大学図書館	2714	1661	皓	皓	皓然	皓然			1		去	去平濁	カウ	カウ＊					13602	
30-006-01	世俗諺文_天理大学図書館	2715	1661	然	然	皓然	皓然			2		平濁	去平濁		カウ＊					13602	
30-006-01	世俗諺文_天理大学図書館	2716	1662	眞	真	眞草	真草			1		平軽	平軽上							13604	
30-006-01	世俗諺文_天理大学図書館	2717	1662	草	草	眞草	真草			2		上	平軽上							13604	
30-006-01	世俗諺文_天理大学図書館	2718	1663	書	書	書迹	書迹			1		平軽	平軽入軽							13604	
30-006-01	世俗諺文_天理大学図書館	2719	1663	迹	迹	書迹	書迹			2		入軽	平軽入軽							13604	
30-006-01	世俗諺文_天理大学図書館	2720	1664	俗	俗	俗	俗			1		入	入							13605	
30-006-01	世俗諺文_天理大学図書館	2721	1665	郎	郎	郎將	郎将			1		平	平去							13607	
30-006-01	世俗諺文_天理大学図書館	2722	1665	將	将	郎將	郎将			2		去	平去							13607	
30-006-01	世俗諺文_天理大学図書館	2723	1666	蔡	蔡	蔡_	蔡_			1		去	去去	サイ	サイヰヨウ					13607	
30-006-01	世俗諺文_天理大学図書館	2724	1666	_	_	蔡_	蔡_			2		去	去去	ヰヨウ	サイヰヨウ					13607	
30-006-01	世俗諺文_天理大学図書館	2725	1667	王	王	王隱	王隠			1		平	平上		＊イン					13607	
30-006-01	世俗諺文_天理大学図書館	2726	1667	隱	隠	王隱	王隠			2		上	平上	イン	＊イン					13607	
30-006-01	世俗諺文_天理大学図書館	2727	1668	_	_	王_	王_			1				キム	キム＊					13608	
30-006-01	世俗諺文_天理大学図書館	2728	1669	變	変	變楷	変楷			1		去	去上							13608	
30-006-01	世俗諺文_天理大学図書館	2729	1669	楷	楷	變楷	変楷			2		上	去上							13608	
30-006-01	世俗諺文_天理大学図書館	2730	1670	題	題	題署	題署			1		平	平上							13608	
30-006-01	世俗諺文_天理大学図書館	2731	1670	署	署	題署	題署			2		上	平上							13608	「暑」に作る
30-006-01	世俗諺文_天理大学図書館	2732	1671	勢	勢	勢	勢			1		去	去							13608	
30-006-01	世俗諺文_天理大学図書館	2733	1672	王	王	王僧虔	王僧虔			1		平	平平入軽		＊＊キヤク					13701	
30-006-01	世俗諺文_天理大学図書館	2734	1672	僧	僧	王僧虔	王僧虔			2		平	平平入軽		＊＊キヤク					13701	
30-006-01	世俗諺文_天理大学図書館	2735	1672	虔	虔	王僧虔	王僧虔			3		入軽	平平入軽	キヤク	＊＊キヤク					13701	仮名別筆、「虐」と見たか
30-006-01	世俗諺文_天理大学図書館	2736	1673	靈	霊	靈帝	霊帝			1		平	平去							13702	
30-006-01	世俗諺文_天理大学図書館	2737	1673	帝	帝	靈帝	霊帝			2		去	平去							13702	
30-006-01	世俗諺文_天理大学図書館	2738	1674	喜	喜	喜平	喜平			1		去	去平							13702	
