資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-03	唯信鈔_專修寺	1775	783	數	数	_數	_数			2	1	平濁	平平濁	シユ	ヘンシユ					111.3		_数
30-023-03	唯信鈔_專修寺	1776	784	不	不	不信	不信			1	1	上	上平	フ	フシン					111.4		不信
30-023-03	唯信鈔_專修寺	1777	784	信	信	不信	不信			2	2	平	上平	シン	フシン					111.4		不信
30-023-03	唯信鈔_專修寺	1778	785	_	_	_數	_数			1	2	平	平平濁	ヘン	ヘンシユ					112.1		_数
30-023-03	唯信鈔_專修寺	1779	785	數	数	_數	_数			2	1	平濁	平平濁	シユ	ヘンシユ					112.1		_数
30-023-03	唯信鈔_專修寺	1780	786	不	不	不信	不信			1	1	上	上平		＊シン					112.2		不信
30-023-03	唯信鈔_專修寺	1781	786	信	信	不信	不信			2	2	平	上平	シン	＊シン					112.3		不信
30-023-03	唯信鈔_專修寺	1782	787	業	業	業	業			1	2	入濁	入濁	コフ	コフ					112.3		業
30-023-03	唯信鈔_專修寺	1783	788	功	功	功	功			1	2	平軽	平軽	コウ〔朱〕	コウ					112.3	朱筆	功
30-023-03	唯信鈔_專修寺	1784	789	要	要	要	要			1	2	平	平	エウ	エウ					113.1		要
30-023-03	唯信鈔_專修寺	1785	790	功	功	功徳	功徳			1	1			ク	クトク					113.3		功徳
30-023-03	唯信鈔_專修寺	1786	790	徳	徳	功徳	功徳			2	2			トク	クトク					113.3		功徳
30-023-03	唯信鈔_專修寺	1787	791	業	業	業因	業因			1	2		＊去	コフ	コフイン					113.4		業因
30-023-03	唯信鈔_專修寺	1788	791	因	因	業因	業因			2	2	去	＊去	イン	コフイン					113.4		業因
30-023-03	唯信鈔_專修寺	1789	792	決	決	決定	決定ス			1	1			クヱチ	クヱチチヤウ					113.4		決定
30-023-03	唯信鈔_專修寺	1790	792	定	定	決定	決定ス			2	2			チヤウ	クヱチチヤウ					113.4		決定
30-023-03	唯信鈔_專修寺	1791	793	善	善	善導和尚	善導和尚			1	2			セン	センタウクワシヤウ					113.4		善導和尚
