資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-02	唯信抄_西本願寺	1148	515	量	量	无量壽佛	无量壽佛			2	2			リヤウ	ムリヤウシユフチ					88.5		无量壽佛
30-023-02	唯信抄_西本願寺	1149	515	壽	壽	无量壽佛	无量壽佛			3	1			シユ	ムリヤウシユフチ					88.5		无量壽佛
30-023-02	唯信抄_西本願寺	1150	515	佛	佛	无量壽佛	无量壽佛			4	1			フチ	ムリヤウシユフチ					89.1		无量壽佛
30-023-02	唯信抄_西本願寺	1151	516	稱	稱	稱佛名故	稱佛名故			1	2			シヨウ	シヨウフチミヤウコ					89.1		稱佛名故
30-023-02	唯信抄_西本願寺	1152	516	佛	佛	稱佛名故	稱佛名故			2	1			フチ	シヨウフチミヤウコ					89.1		稱佛名故
30-023-02	唯信抄_西本願寺	1153	516	名	名	稱佛名故	稱佛名故			3	2			ミヤウ	シヨウフチミヤウコ					89.1		稱佛名故
30-023-02	唯信抄_西本願寺	1154	516	故	故	稱佛名故	稱佛名故			4	1			コ	シヨウフチミヤウコ					89.1		稱佛名故
30-023-02	唯信抄_西本願寺	1155	517	於	於	於念念中	於念念中			1	1			オ	オネム＊チウ					89.1		於念念中
30-023-02	唯信抄_西本願寺	1156	517	念	念	於念念中	於念念中			2	2			ネム	オネム＊チウ					89.1		於念念中
30-023-02	唯信抄_西本願寺	1157	517	中	中	於念念中	於念念中			4	2			チウ	オネム＊チウ					89.1		於念念中
30-023-02	唯信抄_西本願寺	1158	518	除	除	除八十億劫	除八十億劫			1	1			チヨ	チヨ＊＊オクコフ					89.1		除八十億劫
30-023-02	唯信抄_西本願寺	1159	518	億	億	除八十億劫	除八十億劫			4	2			オク	チヨ＊＊オクコフ					89.2		除八十億劫
30-023-02	唯信抄_西本願寺	1160	518	劫	劫	除八十億劫	除八十億劫			5	2			コフ	チヨ＊＊オクコフ					89.2		除八十億劫
30-023-02	唯信抄_西本願寺	1161	519	生	生	生死之罪	生死之罪			1	2			シヤウ	シヤウシシサイ					89.2		生死之罪
30-023-02	唯信抄_西本願寺	1162	519	死	死	生死之罪	生死之罪			2	1			シ	シヤウシシサイ					89.2		生死之罪
30-023-02	唯信抄_西本願寺	1163	519	之	之	生死之罪	生死之罪			3	1			シ	シヤウシシサイ					89.2		生死之罪
