資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-055-01	ドチリーナ・キリシタン_東洋文庫	3979	2338	度	度	濟度	濟度	saido		2				ド	サイド					111r-15	バチカン本対応箇所なし	do
50-055-01	ドチリーナ・キリシタン_東洋文庫	3980	2339	利	利	利益	利益	riyacu		1				リ	リヤク					111r-15	バチカン本対応箇所なし	ri
50-055-01	ドチリーナ・キリシタン_東洋文庫	3981	2339	益	益	利益	利益	riyacu		2				ヤク	リヤク					111r-15	バチカン本対応箇所なし	yacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3982	2340	最	最	最上	最上	saijǒ		1				サイ	サイジャゥ					111r-07	バチカン本対応箇所なし	sai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3983	2340	上	上	最上	最上	saijǒ		2				ジャゥ	サイジャゥ					111r-07	バチカン本対応箇所なし	jǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3984	2341	最	最	最初	最初	saixo		1				サイ	サイショ					111r-09	バチカン本対応箇所なし	sai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3985	2341	初	初	最初	最初	saixo		2				ショ	サイショ					111r-09	バチカン本対応箇所なし	xo
50-055-01	ドチリーナ・キリシタン_東洋文庫	3986	2342	懺	懺	懺悔	懺悔	sangue		1				サン	サンゲ					111r-10	バチカン本対応箇所なし	san
50-055-01	ドチリーナ・キリシタン_東洋文庫	3987	2342	悔	悔	懺悔	懺悔	sangue		2				ゲ	サンゲ					111r-10	バチカン本対応箇所なし	gue
50-055-01	ドチリーナ・キリシタン_東洋文庫	3988	2343	散	散	散じ	散じ	sanji	混種語	1				サン	サンジ				見出し語出現形：sanji, zuru	111r-12	バチカン本対応箇所なし。	san
50-055-01	ドチリーナ・キリシタン_東洋文庫	3989	2344	散	散	散亂する	散亂する	sanran suru	混種語	1				サン	サンラン					112l-01	バチカン本対応箇所なし	san
50-055-01	ドチリーナ・キリシタン_東洋文庫	3990	2344	亂	亂	散亂する	散亂する	sanran suru	混種語	2				ラン	サンラン					112l-01	バチカン本対応箇所なし	ran
50-055-01	ドチリーナ・キリシタン_東洋文庫	3991	2345	相	相	相傳	相傳	sǒden		1				サゥ	サゥデン					112l-03	バチカン本対応箇所なし	sǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3992	2345	傳	傳	相傳	相傳	sǒden		2				デン	サゥデン					112l-03	バチカン本対応箇所なし	den
50-055-01	ドチリーナ・キリシタン_東洋文庫	3993	2346	損	損	損失	損失	sonxit		1				ソン	ソンシっ					112l-05	バチカン本対応箇所なし	son
50-055-01	ドチリーナ・キリシタン_東洋文庫	3994	2346	失	失	損失	損失	sonxit		2				シっ	ソンシっ					112l-05	バチカン本対応箇所なし	xit
50-055-01	ドチリーナ・キリシタン_東洋文庫	3995	2347	損	損	損	損	son		1				ソン	ソン					112l-05	バチカン本対応箇所なし	son
