資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名	仮名型	反切	類音注	節博士	その他	出現位置	備考	推定語形
60-028-01	平曲譜本	207	118	一	一	一人	一人			1								コ×××	HLLL	8下落足8-1口説		いちにん
60-028-01	平曲譜本	208	118	人	人	一人	一人			2								コ×××	HLLL	8下落足8-1口説		いちにん
60-028-01	平曲譜本	209	119	一	一	一人	一人			1								コ×××	HLLL	13上北国9-5口説		いちにん
60-028-01	平曲譜本	210	119	人	人	一人	一人			2								コ×××	HLLL	13上北国9-5口説		いちにん
60-028-01	平曲譜本	211	120	一	一	一人	一人			1								コ×××	HLLL	15上頸渡3-4口説		いちにん
60-028-01	平曲譜本	212	120	人	人	一人	一人			2								コ×××	HLLL	15上頸渡3-4口説		いちにん
60-028-01	平曲譜本	213	121	一	一	一人	一人			1								コア××	HLLL	灌頂原幸14-3シ口		いちにん
60-028-01	平曲譜本	214	121	人	人	一人	一人			2								コア××	HLLL	灌頂原幸14-3シ口		いちにん
60-028-01	平曲譜本	215	122	一	一	一人	一ﾁ人			1								上×××	HLLL	1下土佐17-2白声		いちにん
60-028-01	平曲譜本	216	122	人	人	一人	一ﾁ人			2								上×××	HLLL	1下土佐17-2白声		いちにん
60-028-01	平曲譜本	217	123	一	一	一人	一ﾁ人			1								上×××	HLLL	5下二魁14-2素声		いちにん
60-028-01	平曲譜本	218	123	人	人	一人	一ﾁ人			2								上×××	HLLL	5下二魁14-2素声		いちにん
60-028-01	平曲譜本	219	124	一	一	一人	一ﾁ人			1								上×××	HLLL	6上納流9-1口説		いちにん
60-028-01	平曲譜本	220	124	人	人	一人	一ﾁ人			2								上×××	HLLL	6上納流9-1口説		いちにん
60-028-01	平曲譜本	221	125	一	一	一人	一ﾁ人			1								上×××	HLLL	6上有王11-4口説		いちにん
60-028-01	平曲譜本	222	125	人	人	一人	一ﾁ人			2								上×××	HLLL	6上有王11-4口説		いちにん
60-028-01	平曲譜本	223	126	一	一	一人	一ﾁ人			1								上×××	HLLL	10上慈心15-4白声		いちにん
60-028-01	平曲譜本	224	126	人	人	一人	一ﾁ人			2								上×××	HLLL	10上慈心15-4白声		いちにん
60-028-01	平曲譜本	225	127	一	一	一人	一ﾁ人			1								上×××	HLLL	11上妓王9-2素声		いちにん
60-028-01	平曲譜本	226	127	人	人	一人	一ﾁ人			2								上×××	HLLL	11上妓王9-2素声		いちにん
60-028-01	平曲譜本	227	128	一	一	一人	一ﾁ人			1								上×××	HLLL	12下横田24-3素声		いちにん
60-028-01	平曲譜本	228	128	人	人	一人	一ﾁ人			2								上×××	HLLL	12下横田24-3素声		いちにん
60-028-01	平曲譜本	229	129	一	一	一人	一ﾁ人			1								上×××	HLLL	15上頸渡24-4口説		いちにん
60-028-01	平曲譜本	230	129	人	人	一人	一ﾁ人			2								上×××	HLLL	15上頸渡24-4口説		いちにん
60-028-01	平曲譜本	231	130	一	一	一人	一ﾁ人			1								コ×××	HLLL	2上文強9-4口説		いちにん
60-028-01	平曲譜本	232	130	人	人	一人	一ﾁ人			2								コ×××	HLLL	2上文強9-4口説		いちにん
60-028-01	平曲譜本	233	131	一	一	一人	一ﾁ人			1								コ×××	HLLL	4上信連37-4口説		いちにん
